Username,First name,Last name,Display name,Job title,Department,Office number,Office phone,Mobile phone,Fax,Alternate email address,Address,City,State or province,ZIP or postal code,Country or region
bhushan.meshram@archtechno.onmicrosoft.com,bhushan,meshram,bhushan meshram,IT Manager,Information Technology,123451,123-555-1231,123-555-6661,123-555-9841,chrisgreen@contoso.com,21 Microsoft way,Redmond,Wa,98072,United States
charanjeetkaur.ruprai@archtechno.onmicrosoft.com,charanjeetkaur,ruprai,charanjeetkaur ruprai,IT Manager,Information Technology,123451,123-555-1217,123-555-6647,123-555-9827,chrisgreen@contoso.com,7 Microsoft way,Redmond,Wa,98058,United States
deepam.bhasme@archtechno.onmicrosoft.com,deepam,bhasme,deepam bhasme,IT Manager,Information Technology,123451,123-555-1238,123-555-6668,123-555-9848,chrisgreen@contoso.com,28 Microsoft way,Redmond,Wa,98079,United States
dharmendra.shekhawat@archtechno.onmicrosoft.com,dharmendra,shekhawat,dharmendra shekhawat,IT Manager,Information Technology,123451,123-555-1233,123-555-6663,123-555-9843,chrisgreen@contoso.com,23 Microsoft way,Redmond,Wa,98074,United States
divyanshu.bhanarkar@archtechno.onmicrosoft.com,divyanshu,bhanarkar,divyanshu bhanarkar,IT Manager,Information Technology,123451,123-555-1212,123-555-6642,123-555-9822,chrisgreen@contoso.com,2 Microsoft way,Redmond,Wa,98053,United States
kanishka.hatkar@archtechno.onmicrosoft.com,kanishka,hatkar,kanishka hatkar,IT Manager,Information Technology,123451,123-555-1225,123-555-6655,123-555-9835,chrisgreen@contoso.com,15 Microsoft way,Redmond,Wa,98066,United States
mahima.ladaskar@archtechno.onmicrosoft.com,mahima,ladaskar,mahima ladaskar,IT Manager,Information Technology,123451,123-555-1236,123-555-6666,123-555-9846,chrisgreen@contoso.com,26 Microsoft way,Redmond,Wa,98077,United States
pappu.urade@archtechno.onmicrosoft.com,pappu,urade,pappu urade,IT Manager,Information Technology,123451,123-555-1215,123-555-6645,123-555-9825,chrisgreen@contoso.com,5 Microsoft way,Redmond,Wa,98056,United States
piyush.paratwar@archtechno.onmicrosoft.com,piyush,paratwar,piyush paratwar,IT Manager,Information Technology,123451,123-555-1221,123-555-6651,123-555-9831,chrisgreen@contoso.com,11 Microsoft way,Redmond,Wa,98062,United States
pooja.yadav@archtechno.onmicrosoft.com,pooja,yadav,pooja yadav,IT Manager,Information Technology,123451,123-555-1242,123-555-6672,123-555-9852,chrisgreen@contoso.com,32 Microsoft way,Redmond,Wa,98083,United States
pratiksha.chankapure@archtechno.onmicrosoft.com,pratiksha,chankapure,pratiksha chankapure,IT Manager,Information Technology,123451,123-555-1216,123-555-6646,123-555-9826,chrisgreen@contoso.com,6 Microsoft way,Redmond,Wa,98057,United States
ritika.mohankar@archtechno.onmicrosoft.com,ritika,mohankar,ritika mohankar,IT Manager,Information Technology,123451,123-555-1218,123-555-6648,123-555-9828,chrisgreen@contoso.com,8 Microsoft way,Redmond,Wa,98059,United States
rohini.chaudhari@archtechno.onmicrosoft.com,rohini,chaudhari,rohini chaudhari,IT Manager,Information Technology,123451,123-555-1239,123-555-6669,123-555-9849,chrisgreen@contoso.com,29 Microsoft way,Redmond,Wa,98080,United States
saima.sheikh@archtechno.onmicrosoft.com,saima,sheikh,saima sheikh,IT Manager,Information Technology,123451,123-555-1220,123-555-6650,123-555-9830,chrisgreen@contoso.com,10 Microsoft way,Redmond,Wa,98061,United States
sayali.shastrakar@archtechno.onmicrosoft.com,sayali,shastrakar,sayali shastrakar,IT Manager,Information Technology,123451,123-555-1211,123-555-6641,123-555-9821,chrisgreen@contoso.com,1 Microsoft way,Redmond,Wa,98052,United States
snehal.borikar@archtechno.onmicrosoft.com,Snehal,Borikar,Snehal Borikar,IT Manager,Information Technology,123451,123-555-1243,123-555-6673,123-555-9853,chrisgreen@contoso.com,33 Microsoft way,Redmond,Wa,98084,United States
sonali.mandal@archtechno.onmicrosoft.com,sonali,mandal,sonali mandal,IT Manager,Information Technology,123451,123-555-1229,123-555-6659,123-555-9839,chrisgreen@contoso.com,19 Microsoft way,Redmond,Wa,98070,United States
sonu.bhisikar@archtechno.onmicrosoft.com,sonu,bhisikar,sonu bhisikar,IT Manager,Information Technology,123451,123-555-1230,123-555-6660,123-555-9840,chrisgreen@contoso.com,20 Microsoft way,Redmond,Wa,98071,United States
tanay.tamgadge@archtechno.onmicrosoft.com,tanay,tamgadge,tanay tamgadge,IT Manager,Information Technology,123451,123-555-1241,123-555-6671,123-555-9851,chrisgreen@contoso.com,31 Microsoft way,Redmond,Wa,98082,United States
tushar.bhoyar@archtechno.onmicrosoft.com,tushar,bhoyar,tushar bhoyar,IT Manager,Information Technology,123451,123-555-1237,123-555-6667,123-555-9847,chrisgreen@contoso.com,27 Microsoft way,Redmond,Wa,98078,United States
vaishnavi.kshirsagar@archtechno.onmicrosoft.com,vaishnavi,kshirsagar,vaishnavi kshirsagar,IT Manager,Information Technology,123451,123-555-1219,123-555-6649,123-555-9829,chrisgreen@contoso.com,9 Microsoft way,Redmond,Wa,98060,United States
vedant.darvekar@archtechno.onmicrosoft.com,vedant,darvekar,vedant darvekar,IT Manager,Information Technology,123451,123-555-1213,123-555-6643,123-555-9823,chrisgreen@contoso.com,3 Microsoft way,Redmond,Wa,98054,United States
